Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Entire Private Basement Suite Beautiful Backyard","Home in York","892629963235688746","https://www.airbnb.ca/rooms/892629963235688746","$157 CAD","per night","","1","1","","4.97","30","","$83 CAD","$589 CAD","","No","","","","$157 CAD per night","1 queen bed","REGULAR","entire_home",43.670633766931495,-79.49582885592856,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Furnished Basement Suite","Home in North York","1089979643859774533","https://www.airbnb.ca/rooms/1089979643859774533","$168 CAD","per night","","1","1","1","5","5","$60 CAD","$89 CAD","$569 CAD","","No","","","","$168 CAD per night","1 queen bed","REGULAR","entire_home",43.7240958,-79.3042801,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Stay in Midtown TO 2!","Room in Yonge and Eglinton","963098123855687285","https://www.airbnb.ca/rooms/963098123855687285","$156 CAD","per night","","1","1","1","4.89","27","$60 CAD","$83 CAD","$525 CAD","","No","4.9","","","$156 CAD per night","","REGULAR","private_room",43.7052484,-79.4033219,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Perfect Spot Downtown Toronto","Apartment in Fort York","757811295316797614","https://www.airbnb.ca/rooms/757811295316797614","$280 CAD","per night","","1","1","1","5","13","$50 CAD","$148 CAD","$1,000 CAD","","No","4.6","","","$280 CAD per night","1 bed","REGULAR","entire_home",43.63556,-79.40511,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Room Near York University","Room in North York","953646443521125977","https://www.airbnb.ca/rooms/953646443521125977","$90 CAD","per night","","1","1","","5","14","$50 CAD","$53 CAD","$325 CAD","","No","4.8","","","$90 CAD per night","","REGULAR","private_room",43.751632267444144,-79.49549744131993,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Chic Guest Suite in The Beaches","Home in Toronto","1147162749501500309","https://www.airbnb.ca/rooms/1147162749501500309","$266 CAD","per night","","2","1","1","4.9","10","$70 CAD","$141 CAD","$930 CAD","","No","","","","$266 CAD per night","2 beds","REGULAR","entire_home",43.6772455,-79.3010663,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"1-bedroom bungalow - Midtown - Room #2","Room in Toronto","1003932575011207754","https://www.airbnb.ca/rooms/1003932575011207754","$85 CAD","per night","","","1","1","4.83","23","$40 CAD","$45 CAD","$281 CAD","","No","4.6","","","$85 CAD per night","","REGULAR","private_room",43.679685,-79.4775183,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Chamber 3","Room in Toronto","970258994697061567","https://www.airbnb.ca/rooms/970258994697061567","$76 CAD","per night","","","","1","4.95","22","$35 CAD","$40 CAD","$250 CAD","","No","4.8","","","$76 CAD per night","","REGULAR","private_room",43.70511204913981,-79.46762971382702,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Entire Private Guest Suite with Separate Entrance","Guest suite in Toronto","1071802847797200289","https://www.airbnb.ca/rooms/1071802847797200289","$120 CAD","per night","","1","1","1","5","8","$35 CAD","$64 CAD","$417 CAD","","No","","","","$120 CAD per night","1 queen bed","REGULAR","entire_home",43.70618,-79.30259,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"The One in Yorkville","Apartment in Toronto","1155393382136270411","https://www.airbnb.ca/rooms/1155393382136270411","$379 CAD","per night","","1","1","1","","","$79 CAD","$201 CAD","$1,345 CAD","","No","","$436 CAD","$379 CAD","$379 CAD per night, originally $436 CAD","1 queen bed","REGULAR","entire_home",43.66992817268735,-79.39447446137694,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy 1BR Apartment in North Toronto near Yorkdale","Guest suite in Toronto","37162131","https://www.airbnb.ca/rooms/37162131","$123 CAD","per night","","1","1","1","5","3","$59 CAD","$72 CAD","$454 CAD","","No","4.3","","","$123 CAD per night","1 queen bed","REGULAR","entire_home",43.758277893066406,-79.4622573852539,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Guest suite in Etobicoke","Guest suite in Toronto","52420576","https://www.airbnb.ca/rooms/52420576","$202 CAD","per night","","1","1","1","4.93","14","$110 CAD","$107 CAD","$650 CAD","","No","","","","$202 CAD per night","1 bed","REGULAR","entire_home",43.65044,-79.57996,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern 2 bedroom apartment","Home in Toronto","879022911849322114","https://www.airbnb.ca/rooms/879022911849322114","$272 CAD","per night","","2","1","2","5","34","$65 CAD","$144 CAD","$956 CAD","","No","","","","$272 CAD per night","2 beds","REGULAR","entire_home",43.69126642038585,-79.53626186146016,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Spacious room @North York","Room in Toronto","1176383985479033418","https://www.airbnb.ca/rooms/1176383985479033418","$89 CAD","per night","","1","1","1","5","3","$35 CAD","$47 CAD","$300 CAD","","No","","","","$89 CAD per night","","REGULAR","private_room",43.76415,-79.3252,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"1-bedroom study spot in St. Clair Avenue West","Room in Toronto","610282756352299046","https://www.airbnb.ca/rooms/610282756352299046","$89 CAD","per night","","1","1","1","4.95","161","","$52 CAD","$401 CAD","","No","","","","$89 CAD per night","","REGULAR","private_room",43.67891,-79.43419,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Debonair Condo Heart of Toronto w/Free Parking","Apartment in Toronto","1002992424634465181","https://www.airbnb.ca/rooms/1002992424634465181","$400 CAD","per night","","1","1","1","4.98","51","$80 CAD","","$1,806 CAD","","No","","","","$400 CAD per night","1 queen bed","REGULAR","entire_home",43.6522051,-79.3707929,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Charming room in Upper Beaches home","Room in Toronto","8049960","https://www.airbnb.ca/rooms/8049960","$100 CAD","per night","","1","","1","4.97","212","$40 CAD","$59 CAD","$375 CAD","","No","","","","$100 CAD per night","","REGULAR","private_room",43.6858525212981,-79.3068801464599,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"1 beautiful suite, private washroom, near subway","Room in Toronto","35303504","https://www.airbnb.ca/rooms/35303504","$123 CAD","per night","","1","1","1","4.91","54","$35 CAD","$65 CAD","$425 CAD","","No","","","","$123 CAD per night","","REGULAR","private_room",43.77141,-79.40399,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private Entrance and Stylish Room & Bath","Room in Toronto","725362598944426340","https://www.airbnb.ca/rooms/725362598944426340","$104 CAD","per night","","1","1","1","4.92","37","$30 CAD","$55 CAD","$360 CAD","","No","","$115 CAD","$104 CAD","$104 CAD per night, originally $115 CAD","","REGULAR","private_room",43.59923972028628,-79.50466900422971,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Room with a nice view.","Room in Brampton","1022820051766089140","https://www.airbnb.ca/rooms/1022820051766089140","$73 CAD","per night","","1","1","1","4.76","17","$20 CAD","$40 CAD","$266 CAD","","No","4.7","","","$73 CAD per night","","REGULAR","private_room",43.71958667597796,-79.83176270519868,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy private room in Downtown Toronto","Room in Toronto","994850352855897866","https://www.airbnb.ca/rooms/994850352855897866","$153 CAD","per night","","1","1","1","4.98","48","$50 CAD","$81 CAD","$525 CAD","","No","","","","$153 CAD per night","","REGULAR","private_room",43.65257425207453,-79.4096427139983,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Joyful Spacious Triple Room with Private Bathroom","Room in Toronto","537874966914676930","https://www.airbnb.ca/rooms/537874966914676930","$120 CAD","per night","","1","1","1","4.97","68","$50 CAD","$64 CAD","$400 CAD","","No","","","","$120 CAD per night","","REGULAR","private_room",43.65952,-79.53146,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Studio Apartment City View | Downtown Toronto","Condo in Toronto","1099366523167411300","https://www.airbnb.ca/rooms/1099366523167411300","$246 CAD","per night","","","1","","5","7","$22 CAD","$131 CAD","$903 CAD","","No","4.6","","","$246 CAD per night","","REGULAR","entire_home",43.64932,-79.38813,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private Room with a View","Place to stay in Downtown Toronto","1138523851125840320","https://www.airbnb.ca/rooms/1138523851125840320","$198 CAD","per night","","1","1","1","5","8","$50 CAD","$105 CAD","$693 CAD","","No","","","","$198 CAD per night","1 queen bed","REGULAR","private_room",43.6673902023233,-79.37718306575351,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern 1BR Toronto  Downtown Condo,  King size bed","Condo in Downtown Toronto","919637269307224211","https://www.airbnb.ca/rooms/919637269307224211","$365 CAD","per night","","","1","1","4.98","43","$95 CAD","$193 CAD","$1,275 CAD","","No","","$396 CAD","$365 CAD","$365 CAD per night, originally $396 CAD","","REGULAR","entire_home",43.64220784335468,-79.39904802906867,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Best Location Downtown Toronto renovated Apartment","Apartment in Little Portugal","871680273777423511","https://www.airbnb.ca/rooms/871680273777423511","$256 CAD","per night","","1","1","1","4.96","25","","$138 CAD","$978 CAD","","No","4.9","$289 CAD","$256 CAD","$256 CAD per night, originally $289 CAD","1 king bed","REGULAR","entire_home",43.64379,-79.42866,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Charming Suite","Apartment in York","1158047933349527140","https://www.airbnb.ca/rooms/1158047933349527140","$212 CAD","per night","","2","1","1","","","$120 CAD","$112 CAD","$675 CAD","","No","","","","$212 CAD per night","2 beds","REGULAR","entire_home",43.6855477,-79.4383359,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish new unit in High Park","Home in Toronto","1162661717018163268","https://www.airbnb.ca/rooms/1162661717018163268","$250 CAD","per night","","","1","1","5","3","$90 CAD","$133 CAD","$850 CAD","","No","","","","$250 CAD per night","","REGULAR","entire_home",43.6590627,-79.4661536,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"*Cozy & Romantic Waterfront Condo*","Apartment in Downtown Toronto","1084695996977454151","https://www.airbnb.ca/rooms/1084695996977454151","$383 CAD","per night","","1","1","1","4.9","21","$135 CAD","$203 CAD","$1,305 CAD","","No","4.8","$473 CAD","$383 CAD","$383 CAD per night, originally $473 CAD","1 queen bed","REGULAR","entire_home",43.64132231955182,-79.38162899547511,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"One queen bed with a private bathroom by subway","Room in North York","14733628","https://www.airbnb.ca/rooms/14733628","$108 CAD","per night","","1","1","1","4.72","181","$80 CAD","$57 CAD","$325 CAD","","No","4.7","","","$108 CAD per night","","REGULAR","private_room",43.77266,-79.42044,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
