Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Clean and Artsy Room in Trendy DT","Room in Toronto","1037379349742938979","https://www.airbnb.ca/rooms/1037379349742938979","$140 CAD","per night","","","1","1","4.8","15","$35 CAD","$74 CAD","$490 CAD","","No","4.9","$163 CAD","$140 CAD","$140 CAD per night, originally $163 CAD","","REGULAR","private_room",43.652820793445315,-79.40907843945347,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Vintage Cherry queen bed, TV,Shared washroom.","Room in Brampton","607235693646379262","https://www.airbnb.ca/rooms/607235693646379262","$62 CAD","per night","","","1","1","4.88","94","","$35 CAD","$245 CAD","","No","4.9","","","$62 CAD per night","","REGULAR","private_room",43.65532,-79.78568,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Separate entrance, new & private suite near subway","Home in Toronto","695855631399791417","https://www.airbnb.ca/rooms/695855631399791417","$229 CAD","per night","","1","1","1","4.97","68","$68 CAD","$121 CAD","$792 CAD","","No","4.9","","","$229 CAD per night","1 queen bed","REGULAR","entire_home",43.69087,-79.31627,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Beautifull Rooms in Whitby.","Room in Whitby","1180081654047377221","https://www.airbnb.ca/rooms/1180081654047377221","$60 CAD","per night","","1","1","1","","","","$33 CAD","$235 CAD","","No","","","","$60 CAD per night","","REGULAR","private_room",43.927497185468035,-78.96402393297967,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Presidential Suite: Private Bath Laundry 1 Min TTC","Room in Toronto","1096452560273447185","https://www.airbnb.ca/rooms/1096452560273447185","$154 CAD","per night","","","1","1","5","4","$59 CAD","$82 CAD","$520 CAD","","No","4.8","","","$154 CAD per night","","REGULAR","private_room",43.70282637688614,-79.39998784221797,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Beautiful room with free gym near downtown","Room in Toronto","4187372","https://www.airbnb.ca/rooms/4187372","$69 CAD","per night","","1","1","1","4.96","50","$40 CAD","$37 CAD","$220 CAD","","No","4.9","","","$69 CAD per night","","REGULAR","private_room",43.71164313946156,-79.32427940466887,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"2 Bedroom Modern walk out Basement","Home in Toronto","53074086","https://www.airbnb.ca/rooms/53074086","$178 CAD","per night","","2","1","2","4.74","39","$50 CAD","$95 CAD","$620 CAD","","No","4.7","$195 CAD","$178 CAD","$178 CAD per night, originally $195 CAD","2 queen beds","REGULAR","entire_home",43.79308,-79.41673,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Prime Condo Across CN Tower & MTCC","Apartment in Toronto","1102347006879826328","https://www.airbnb.ca/rooms/1102347006879826328","$328 CAD","per night","","","1","1","","","$89 CAD","$174 CAD","$1,145 CAD","","No","","","","$328 CAD per night","","REGULAR","entire_home",43.64490860670154,-79.39011203876811,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy 2 bedrooms condo near CN Tower","Apartment in Toronto","855337843193819672","https://www.airbnb.ca/rooms/855337843193819672","$295 CAD","per night","","","1","2","4.93","28","$150 CAD","$157 CAD","$959 CAD","","No","","$424 CAD","$295 CAD","$295 CAD per night, originally $424 CAD","","REGULAR","entire_home",43.63950574764909,-79.39652408182518,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Comfort private bedroom unit 202 with Laptop table","Room in Toronto","53154548","https://www.airbnb.ca/rooms/53154548","$113 CAD","per night","","1","1","1","4.97","31","$80 CAD","$60 CAD","$343 CAD","","No","4.9","","","$113 CAD per night","","REGULAR","private_room",43.672314,-79.474808,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern 2BR Condo + Parking + Pool+ Gym, CN Tower","Condo in Toronto","1121109883535688111","https://www.airbnb.ca/rooms/1121109883535688111","$525 CAD","per night","","2","2","2","5","4","$175 CAD","$279 CAD","$1,798 CAD","","No","","$585 CAD","$525 CAD","$525 CAD per night, originally $585 CAD","2 queen beds","REGULAR","entire_home",43.6441277,-79.38940579999999,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Relax & Work: Downtown Spa Suite + Parking","Apartment in Toronto","1116846503911524877","https://www.airbnb.ca/rooms/1116846503911524877","$368 CAD","per night","","1","1","1","5","3","$80 CAD","$197 CAD","$1,317 CAD","","No","","","","$368 CAD per night","1 king bed","REGULAR","entire_home",43.6352828,-79.43637960000001,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"🔥Modern High Floor Deluxe King Suite /w City Views","Condo in Toronto","625504954174240602","https://www.airbnb.ca/rooms/625504954174240602","$414 CAD","per night","","2","1","1","4.92","104","$120 CAD","$243 CAD","$1,604 CAD","","No","4.9","$460 CAD","$414 CAD","$414 CAD per night, originally $460 CAD","2 beds","REGULAR","entire_home",43.654644,-79.379089,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Beautiful 1000sqft apartment","Apartment in Mississauga","1166269153636879821","https://www.airbnb.ca/rooms/1166269153636879821","$209 CAD","per night","","","2","2","5","8","$30 CAD","$111 CAD","$755 CAD","","No","4.8","","","$209 CAD per night","","REGULAR","entire_home",43.586523309358704,-79.64590990158963,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"3rd floor-Amsterdam Room","Room in Toronto","35548850","https://www.airbnb.ca/rooms/35548850","$109 CAD","per night","","1","2","1","4.91","283","$15 CAD","$64 CAD","$440 CAD","","No","4.9","$119 CAD","$109 CAD","$109 CAD per night, originally $119 CAD","","REGULAR","private_room",43.64012,-79.45416,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"garden view with private bathroom at main floor","Room in Mississauga","861863676434567996","https://www.airbnb.ca/rooms/861863676434567996","$121 CAD","per night","","1","","1","5","22","$40 CAD","$64 CAD","$415 CAD","","No","","","","$121 CAD per night","","REGULAR","private_room",43.6099074,-79.60623679999999,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Lovely Upper Beach Suite","Home in Toronto","1139116715188524790","https://www.airbnb.ca/rooms/1139116715188524790","$233 CAD","per night","","1","1","1","5","5","","$124 CAD","$875 CAD","","No","","","","$233 CAD per night","1 queen bed","REGULAR","entire_home",43.6759,-79.31281,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Subway nearby, Private Room in Downtown Toronto 3","Room in Toronto","1155723217876019023","https://www.airbnb.ca/rooms/1155723217876019023","$112 CAD","per night","","1","1","1","","","$15 CAD","$66 CAD","$450 CAD","","No","","$122 CAD","$112 CAD","$112 CAD per night, originally $122 CAD","","REGULAR","private_room",43.673872660077485,-79.40614496433109,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish Condo Downtown + 1 Free Parking","Apartment in Toronto","1118754579575866416","https://www.airbnb.ca/rooms/1118754579575866416","$336 CAD","per night","","2","1","1","5","32","$75 CAD","$198 CAD","$1,325 CAD","","No","4.9","$383 CAD","$336 CAD","$336 CAD per night, originally $383 CAD","2 beds","REGULAR","entire_home",43.63571,-79.40484,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"The View of Toronto","Apartment in Toronto","1088514986050551736","https://www.airbnb.ca/rooms/1088514986050551736","$379 CAD","per night","","","1","1","5","16","$80 CAD","$201 CAD","$1,345 CAD","","No","","","","$379 CAD per night","","REGULAR","entire_home",43.6421544,-79.381624,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Home away from home","Room in Toronto","39488588","https://www.airbnb.ca/rooms/39488588","$98 CAD","per night","","1","1","","4.96","26","$60 CAD","$58 CAD","$347 CAD","","No","","","","$98 CAD per night","","REGULAR","private_room",43.78765,-79.26526,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"In the Heart of DT Toronto Across CN Tower/MTCC","Apartment in Toronto","1088494663162539863","https://www.airbnb.ca/rooms/1088494663162539863","$314 CAD","per night","","1","1","1","","","$89 CAD","$167 CAD","$1,091 CAD","","No","","","","$314 CAD per night","1 queen bed","REGULAR","entire_home",43.64322364337581,-79.38980829672896,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Retreat close to airport.","Home in Toronto","1147138144197912109","https://www.airbnb.ca/rooms/1147138144197912109","$246 CAD","per night","","","1","2","","","$50 CAD","$131 CAD","$875 CAD","","No","","","","$246 CAD per night","","REGULAR","entire_home",43.688954,-79.5556445,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private Rm C /ensuite in North York Luxury house","Room in Toronto","1001442195283748916","https://www.airbnb.ca/rooms/1001442195283748916","$119 CAD","per night","","1","1","1","5","8","$50 CAD","$63 CAD","$396 CAD","","No","","","","$119 CAD per night","","REGULAR","private_room",43.79585,-79.41816,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Bright & Cozy room, near downtown","Room in Toronto","43179814","https://www.airbnb.ca/rooms/43179814","$109 CAD","per night","","1","1","1","4.96","25","$60 CAD","$58 CAD","$350 CAD","","No","","","","$109 CAD per night","","REGULAR","private_room",43.64710657010101,-79.47833932500734,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Room in Toronto, Danforth, GreekT","Room in Toronto","969804456158121359","https://www.airbnb.ca/rooms/969804456158121359","$109 CAD","per night","","1","1","1","4.93","46","$35 CAD","$58 CAD","$375 CAD","","No","","","","$109 CAD per night","","REGULAR","private_room",43.68102,-79.34979,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Big House Motel, Room #205 ensuite bathroom","Room in Toronto","1101538998597510639","https://www.airbnb.ca/rooms/1101538998597510639","$91 CAD","per night","","1","1","1","5","3","$55 CAD","$48 CAD","$285 CAD","","No","","","","$91 CAD per night","","REGULAR","private_room",43.80503,-79.34949,"id","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Your room with 3n suite private washroom","Room in Toronto","6719639","https://www.airbnb.ca/rooms/6719639","$97 CAD","per night","","1","1","1","4.77","143","$30 CAD","$52 CAD","$335 CAD","","No","4.8","","","$97 CAD per night","","REGULAR","private_room",43.69279,-79.31642,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern 1BR Toronto  Downtown Condo,  King size bed","Condo in Toronto","919637269307224211","https://www.airbnb.ca/rooms/919637269307224211","$365 CAD","per night","","","1","1","4.98","43","$95 CAD","$193 CAD","$1,275 CAD","","No","","$396 CAD","$365 CAD","$365 CAD per night, originally $396 CAD","","REGULAR","entire_home",43.64220784335468,-79.39904802906867,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern Beach Studio Apartment","Apartment in Toronto","1062321798267087104","https://www.airbnb.ca/rooms/1062321798267087104","$249 CAD","per night","","","1","1","5","24","$60 CAD","$132 CAD","$875 CAD","","No","","","","$249 CAD per night","","REGULAR","entire_home",43.67001671772229,-79.29149098956901,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"⁘North-West Toronto Private Suite Free Parking ⁘","Apartment in Toronto","785604548406347800","https://www.airbnb.ca/rooms/785604548406347800","$215 CAD","per night","","1","1","1","5","24","$68 CAD","$114 CAD","$740 CAD","","No","","","","$215 CAD per night","1 queen bed","REGULAR","entire_home",43.70649,-79.51907,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"The One in Yorkville","Apartment in Toronto","1155393382136270411","https://www.airbnb.ca/rooms/1155393382136270411","$379 CAD","per night","","1","1","1","","","$79 CAD","$201 CAD","$1,345 CAD","","No","","$436 CAD","$379 CAD","$379 CAD per night, originally $436 CAD","1 queen bed","REGULAR","entire_home",43.66992817268735,-79.39447446137694,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish 2BR Executive Suite in Popular King West!","Apartment in Toronto","1062214699848561306","https://www.airbnb.ca/rooms/1062214699848561306","$555 CAD","per night","","2","2","2","5","9","$90 CAD","$294 CAD","$1,995 CAD","","No","4.9","$598 CAD","$555 CAD","$555 CAD per night, originally $598 CAD","2 queen beds","REGULAR","entire_home",43.64705,-79.39293,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Comfy Upper Beaches Retreat Toronto","Room in Toronto","980617058758804556","https://www.airbnb.ca/rooms/980617058758804556","$157 CAD","per night","","1","1","1","4.91","11","$40 CAD","$83 CAD","$550 CAD","","No","","","","$157 CAD per night","","REGULAR","private_room",43.67618701240742,-79.31503039277848,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Yorkville Plaza 1 bedroom 30th floor w/9ft Ceiling","Apartment in Toronto","911971629100430978","https://www.airbnb.ca/rooms/911971629100430978","$385 CAD","per night","","","1","1","5","26","$100 CAD","$204 CAD","$1,345 CAD","","No","","$455 CAD","$385 CAD","$385 CAD per night, originally $455 CAD","","REGULAR","entire_home",43.6703938,-79.39430279999999,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Upscale Luxurious Condo Free Parking","Condo in Toronto","21697319","https://www.airbnb.ca/rooms/21697319","$294 CAD","per night","","2","1","1","4.95","175","$150 CAD","$173 CAD","$1,075 CAD","","No","","$352 CAD","$294 CAD","$294 CAD per night, originally $352 CAD","2 beds","REGULAR","entire_home",43.64288,-79.38062,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish Private Room in Downtown Toronto","Room in Toronto","681276179559952728","https://www.airbnb.ca/rooms/681276179559952728","$261 CAD","per night","","1","1","","4.88","59","$70 CAD","$138 CAD","$910 CAD","","No","","$309 CAD","$261 CAD","$261 CAD per night, originally $309 CAD","","REGULAR","private_room",43.65078846133646,-79.37009534366221,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Master suite close to down town and Subway","Room in Toronto","23823207","https://www.airbnb.ca/rooms/23823207","$126 CAD","per night","","1","0","","4.91","98","$75 CAD","$104 CAD","$697 CAD","","No","","","","$126 CAD per night","","REGULAR","private_room",43.66033,-79.44606,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy Open-concept basement in Richmond Hill","Guest suite in Richmond Hill","1156437933248984624","https://www.airbnb.ca/rooms/1156437933248984624","$127 CAD","per night","","1","1","1","","","$100 CAD","$71 CAD","$400 CAD","","No","","","","$127 CAD per night","1 queen bed","REGULAR","entire_home",43.922247491256755,-79.45614909052837,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Large Crash Pad with Spa Bathroom in Little Italy","Room in Toronto","871853763680323337","https://www.airbnb.ca/rooms/871853763680323337","$157 CAD","per night","","","1","","4.95","19","$65 CAD","$83 CAD","$525 CAD","","No","4.8","","","$157 CAD per night","","REGULAR","private_room",43.6597822678484,-79.42402869645035,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
