Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query,Subtitle,Guests (Premium Data),Data as Of (Premium Data),Data Start Date (for 30 Day Intervals) (Premium Data),% Booked 1st 30 Days (Premium Data),% Booked Days 31-60 (Premium Data),% Booked Days 61-90 (Premium Data),Data Start Date (for Months) (Premium Data),Month 1 (Premium Data),% Booked in Month 1 (Premium Data),Month 2 (Premium Data),% Booked in Month 2 (Premium Data),Month 3 (Premium Data),% Booked in Month 3 (Premium Data),Data Start Date (for Reviews) (Premium Data),Past Year's # of Reviews (Premium Data)
"Cozy space in one of Toronto's best neighbourhoods","Condo in Downtown Toronto","19863568","https://www.airbnb.ca/rooms/19863568","$244 CAD","per night","","2","1","1","4.89","193","$90 CAD","$129 CAD","$825 CAD","","No","4.9","","","$244 CAD per night","2 beds","REGULAR","entire_home",43.64134979248047,-79.40013122558594,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Comfortable Room in Laneway House, Private Bath","Room in Downtown Toronto","24596930","https://www.airbnb.ca/rooms/24596930","$142 CAD","per night","","1","1","1","4.99","176","$20 CAD","$75 CAD","$513 CAD","","No","","","","$142 CAD per night","","REGULAR","private_room",43.65662,-79.36178,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Bright Bedsit in basement of cozy home!","Room in Leslieville","913250390802099000","https://www.airbnb.ca/rooms/913250390802099000","$80 CAD","per night","","","1","1","5","16","","$42 CAD","$300 CAD","","No","","","","$80 CAD per night","","REGULAR","private_room",43.671504004609645,-79.34034515172243,"en","Guest favourite","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Modern Stylish Wychwood Suite","Room in Midtown","1123863436820469201","https://www.airbnb.ca/rooms/1123863436820469201","$143 CAD","per night","","","1","","5","4","$60 CAD","$76 CAD","$476 CAD","","No","4.8","","","$143 CAD per night","","REGULAR","private_room",43.68088434795213,-79.4219901279041,"en","","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Bedroom Near Subway/1G","Room in North York","1180080474700753946","https://www.airbnb.ca/rooms/1180080474700753946","$73 CAD","per night","","1","1","1","","","$60 CAD","$39 CAD","$216 CAD","","No","","","","$73 CAD per night","","REGULAR","private_room",43.769927122505436,-79.37715776548494,"en","","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Central and Private 1BR Home!","Home in Liberty Village","1177026345356160434","https://www.airbnb.ca/rooms/1177026345356160434","$335 CAD","per night","","1","1","1","","","$69 CAD","$162 CAD","$1,345 CAD","","No","","$389 CAD","$335 CAD","$335 CAD per night, originally $389 CAD","1 bed","REGULAR","entire_home",43.638707688693785,-79.41428064229511,"en","","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Fabulous Downtown Condo with CN Tower and Lakeview","Condo in Downtown Toronto","1069816661079469167","https://www.airbnb.ca/rooms/1069816661079469167","$297 CAD","per night","","1","1","1","5","5","$150 CAD","$158 CAD","$1,138 CAD","","No","4.8","$332 CAD","$297 CAD","$297 CAD per night, originally $332 CAD","1 queen bed","REGULAR","entire_home",43.64113,-79.38275,"en","","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Basement suite in the Beaches!","Guest suite in Upper Beaches","38569602","https://www.airbnb.ca/rooms/38569602","$153 CAD","per night","","1","1","","4.84","97","$75 CAD","$81 CAD","$500 CAD","","No","4.9","","","$153 CAD per night","1 queen bed","REGULAR","entire_home",43.6693,-79.31263,"en","Superhost","Jun 20, 24","","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Main floor studio for single pvt.bath near Airport","Place to stay in Toronto","729030522961010922","https://www.airbnb.ca/rooms/729030522961010922","$73 CAD","per night","","1","1","1","4.92","203","$25 CAD","$43 CAD","$278 CAD","","No","4.9","","","$73 CAD per night","1 queen bed","REGULAR","private_room",43.73838,-79.58599,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"2' to bus stop, private 1/2bath bedroom in Toronto","Room in Toronto","867286401674219119","https://www.airbnb.ca/rooms/867286401674219119","$92 CAD","per night","","1","","1","5","20","$40 CAD","$49 CAD","$305 CAD","","No","","","","$92 CAD per night","","REGULAR","private_room",43.658666444503226,-79.54252094885811,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Romantic BnB on a Lux Yatch","Boat in Mississauga","1173459193914340061","https://www.airbnb.ca/rooms/1173459193914340061","$208 CAD","per night","","3","1","1","","","$50 CAD","$110 CAD","$730 CAD","","No","","","","$208 CAD per night","3 beds","REGULAR","entire_home",43.550927026237794,-79.58416318295279,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Sunny Comfy Bedroom in Junction","Room in Toronto","992563335502549570","https://www.airbnb.ca/rooms/992563335502549570","$121 CAD","per night","","2","","1","4.96","26","$75 CAD","$64 CAD","$381 CAD","","No","","","","$121 CAD per night","","REGULAR","private_room",43.6619313613674,-79.46452061534423,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Chic Studio by Eaton Centre","Apartment in Toronto","1174648369611452916","https://www.airbnb.ca/rooms/1174648369611452916","$238 CAD","per night","","1","1","","","","$65 CAD","$140 CAD","$926 CAD","","No","","","","$238 CAD per night","1 double bed","REGULAR","entire_home",43.65696,-79.37336,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Relaxing Condo in the Bluffs!","Apartment in Toronto","952048588089137186","https://www.airbnb.ca/rooms/952048588089137186","$137 CAD","per night","","1","1","1","","","$40 CAD","$73 CAD","$475 CAD","","No","","","","$137 CAD per night","1 bed","REGULAR","entire_home",43.70429,-79.25221,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Mi Casa Es Su Casa- Parking, Wi-Fi, Private Space","Guest suite in Toronto","692586093862346958","https://www.airbnb.ca/rooms/692586093862346958","$161 CAD","per night","","2","1","1","4.92","25","","$119 CAD","$845 CAD","","No","4.7","","","$161 CAD per night","2 beds","REGULAR","entire_home",43.6889159,-79.4454028,"es","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy private suite in Corso","Home in Toronto","1066072557077900856","https://www.airbnb.ca/rooms/1066072557077900856","$136 CAD","per night","","","1","1","5","25","$45 CAD","$72 CAD","$464 CAD","","No","","","","$136 CAD per night","","REGULAR","entire_home",43.68342237269045,-79.45290438830853,"it","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Romantic House - Sunny, Twin Private Luxury Villa, Free Parking","Villa in Toronto","37676389","https://www.airbnb.ca/rooms/37676389","$177 CAD","per night","","2","1","2","5","7","$70 CAD","$104 CAD","$666 CAD","","No","","","","$177 CAD per night","2 queen beds","REGULAR","entire_home",43.76874353674298,-79.43389508284888,"en-CA","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish 1 Bdr Apt North york","Condo in Toronto","1060482056917610281","https://www.airbnb.ca/rooms/1060482056917610281","$245 CAD","per night","","2","1","1","","","$120 CAD","$130 CAD","$800 CAD","","No","","$278 CAD","$245 CAD","$245 CAD per night, originally $278 CAD","2 beds","REGULAR","entire_home",43.7615158,-79.4098479,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Studio Gem in the lovely Waterfront Communities","Condo in Toronto","1012610054569667011","https://www.airbnb.ca/rooms/1012610054569667011","$301 CAD","per night","","1","1","","4.96","23","$105 CAD","$160 CAD","$1,104 CAD","","No","","","","$301 CAD per night","1 queen bed","REGULAR","entire_home",43.6520584,-79.37145749999999,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"PRIVATE 1BR, SEPAR. ENTRANCE+kitchen","Home in Toronto","37239056","https://www.airbnb.ca/rooms/37239056","$173 CAD","per night","","1","1","1","5","97","$59 CAD","$92 CAD","$590 CAD","","No","","","","$173 CAD per night","1 queen bed","REGULAR","entire_home",43.6617792761952,-79.49938739628972,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Newly Renovated  Ideally Located Annex Ensuite","Room in Toronto","26102101","https://www.airbnb.ca/rooms/26102101","$125 CAD","per night","","1","1","","4.95","262","$45 CAD","$66 CAD","$425 CAD","","No","","","","$125 CAD per night","","REGULAR","private_room",43.67148,-79.40934,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Luxury lakeview near Scotiabank Arena with parking","Condo in Toronto","1005690789128832648","https://www.airbnb.ca/rooms/1005690789128832648","$386 CAD","per night","","","1","2","5","18","$100 CAD","$205 CAD","$1,350 CAD","","No","","$485 CAD","$386 CAD","$386 CAD per night, originally $485 CAD","","REGULAR","entire_home",43.6423,-79.3829,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private Room/Almost Entire Place in Centre Ville","Room in Downtown Toronto","36756894","https://www.airbnb.ca/rooms/36756894","$155 CAD","per night","","1","1","1","4.96","55","$200 CAD","$82 CAD","$383 CAD","","No","","","","$155 CAD per night","","REGULAR","private_room",43.67021,-79.37172,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy in Christie Pits - Short Term","Room in Midtown","816581643172410476","https://www.airbnb.ca/rooms/816581643172410476","$176 CAD","per night","","1","1","1","5","20","$100 CAD","$93 CAD","$560 CAD","","No","","","","$176 CAD per night","","REGULAR","private_room",43.66988,-79.42108,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Charming Apt w/ Private Deck in a 1890s Victorian","Apartment in Parkdale","52259947","https://www.airbnb.ca/rooms/52259947","$175 CAD","per night","","2","1","1","4.95","103","$100 CAD","$103 CAD","$630 CAD","","No","","$293 CAD","$175 CAD","$175 CAD per night, originally $293 CAD","2 beds","REGULAR","entire_home",43.64234,-79.43122,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Toronto’s Danforth/Riverdale Prime Location","Place to stay in Toronto","26776753","https://www.airbnb.ca/rooms/26776753","$156 CAD","per night","","2","1","1","4.9","327","$35 CAD","$83 CAD","$550 CAD","","No","","","","$156 CAD per night","2 beds","REGULAR","private_room",43.6754,-79.34584,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"private room at the second floor","Room in North York","834366895687311833","https://www.airbnb.ca/rooms/834366895687311833","$93 CAD","per night","","1","1","1","5","17","$50 CAD","$49 CAD","$375 CAD","","No","4.9","$108 CAD","$93 CAD","$93 CAD per night, originally $108 CAD","","REGULAR","private_room",43.7759545,-79.43374279999999,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Stylish Condo Heart of Downtown","Apartment in Downtown Toronto","1152855781645435726","https://www.airbnb.ca/rooms/1152855781645435726","$258 CAD","per night","","2","1","1","4.75","8","$75 CAD","$152 CAD","$1,000 CAD","","No","","$307 CAD","$258 CAD","$258 CAD per night, originally $307 CAD","2 beds","REGULAR","entire_home",43.66817,-79.37709,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Welcome Home! Breakfast/King Bed","Room in Midtown","1153586785492183871","https://www.airbnb.ca/rooms/1153586785492183871","$161 CAD","per night","","","1","1","5","11","","$85 CAD","$945 CAD","","No","","$229 CAD","$161 CAD","$161 CAD per night, originally $229 CAD","","REGULAR","private_room",43.67255275478143,-79.42808953595369,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private Room in Downtown Toronto RM3","Room in Toronto","1631386","https://www.airbnb.ca/rooms/1631386","$113 CAD","per night","","1","1","1","4.81","423","","$60 CAD","$425 CAD","","No","4.8","$123 CAD","$113 CAD","$113 CAD per night, originally $123 CAD","","REGULAR","private_room",43.66368,-79.44037,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private entrance with king bed","Room in Midtown","958715996615061789","https://www.airbnb.ca/rooms/958715996615061789","$170 CAD","per night","","","1","1","5","72","$20 CAD","$90 CAD","$620 CAD","","No","","","","$170 CAD per night","","REGULAR","private_room",43.679835350212244,-79.41792915547484,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Unique Private Room","Room in Toronto","1002900722509922560","https://www.airbnb.ca/rooms/1002900722509922560","$100 CAD","per night","","","1","1","5","6","$60 CAD","$59 CAD","$355 CAD","","No","4.5","","","$100 CAD per night","","REGULAR","private_room",43.7339,-79.39394,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Bright, Quiet & Cozy room in Mimico, Toronto","Room in Mimico","1017429274181814352","https://www.airbnb.ca/rooms/1017429274181814352","$98 CAD","per night","","","","1","5","19","$30 CAD","$52 CAD","$338 CAD","","No","","","","$98 CAD per night","","REGULAR","private_room",43.6139646,-79.4977614,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"The Sunrise Room","Room in North York","1029073189914100932","https://www.airbnb.ca/rooms/1029073189914100932","$115 CAD","per night","","","1","1","5","25","$35 CAD","$61 CAD","$395 CAD","","No","4.9","","","$115 CAD per night","","REGULAR","private_room",43.76091335667004,-79.4049517534481,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Cozy private bedroom near Downtown Toronto","Room in Liberty Village","728672690316977108","https://www.airbnb.ca/rooms/728672690316977108","$116 CAD","per night","","","1","1","4.85","122","$39 CAD","$68 CAD","$445 CAD","","No","4.8","","","$116 CAD per night","","REGULAR","private_room",43.63917,-79.42806,"en","Superhost","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"King St W Haven: Steps to Gourmet Dining","Apartment in Downtown Toronto","1168073331336177249","https://www.airbnb.ca/rooms/1168073331336177249","$253 CAD","per night","","2","1","1","","","$70 CAD","$149 CAD","$985 CAD","","No","","","","$253 CAD per night","2 beds","REGULAR","entire_home",43.64300255965017,-79.40240037057974,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Bright and Modern Parkdale Guest Suite","Guest suite in Roncesvalles Village","23324168","https://www.airbnb.ca/rooms/23324168","$153 CAD","per night","","1","1","1","4.97","271","$55 CAD","$81 CAD","$518 CAD","","No","","","","$153 CAD per night","1 queen bed","REGULAR","private_room",43.64266,-79.43912,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Beautiful and Cozy Home for Rental","Room in North York","1856109","https://www.airbnb.ca/rooms/1856109","$114 CAD","per night","","1","1","1","4.75","599","$50 CAD","$67 CAD","$425 CAD","","No","","","","$114 CAD per night","","REGULAR","private_room",43.71718,-79.44104,"en-CA","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"World Traveller Room","Room in Midtown","897942194652560095","https://www.airbnb.ca/rooms/897942194652560095","$114 CAD","per night","","","1","1","4.96","48","$30 CAD","$61 CAD","$399 CAD","","No","","$125 CAD","$114 CAD","$114 CAD per night, originally $125 CAD","","REGULAR","private_room",43.66819,-79.42569,"en","Guest favourite","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
"Private Upper Level Home, 1 Bed, 2 Bathroom, Patio","Room in Toronto","1157012576915236558","https://www.airbnb.ca/rooms/1157012576915236558","$230 CAD","per night","","1","2","1","5","4","$110 CAD","$122 CAD","$753 CAD","","No","","","","$230 CAD per night","","REGULAR","private_room",43.66722,-79.41278,"en","","Jun 20, 24","5","","","","Toronto, ON","","","","","","","","","","","","","","","",""
